blind_id,model_label,task_id,category,prompt,review_focus,response,kinyarwanda_correctness_1_5,beginner_clarity_1_5,grammar_explanation_1_5,cultural_register_1_5,helpfulness_1_5,uncertainty_behavior_1_5,hallucination_flag,pass_fail,reviewer,reviewer_notes
B011,Model A,T011,Sentence correction,Correct: `Ndi kwiga Ikinyarwanda.`,"grammar, humility if uncertain","Your sentence is **grammatically correct** and very natural.

**Ndi kwiga Ikinyarwanda.**
*(I am learning Kinyarwanda.)*

### Breakdown:
*   **Ndi**: I am (from the verb *kuba* - to be).
*   **kwiga**: learning (the infinitive form of the verb *kwiga*).
*   **Ikinyarwanda**: The Kinyarwanda language.

---

### Alternative ways to say this:

Depending on the context, you might also hear or use these variations:

**1. Using the present continuous (More common in casual speech):**
> **Ndi kwiga Ikinyarwanda.** (This is what you wrote; it is perfectly fine).

**2. Using the simple present (To state a general fact):**
> **Niyiga Ikinyarwanda.**
> *(I learn Kinyarwanda / I study Kinyarwanda.)*
> *Note: In Kinyarwanda, the simple present is often used to describe ongoing actions.*

**3. If you want to say ""I am studying"" (like for an exam or a specific book):**
> **Ndi kwiga.**
> *(I am studying.)*

### Quick Tip:
In Kinyarwanda, when you use the structure **""Ndi + [Infinitive]""**, it emphasizes the action happening *right now*. You did a great job!",,,,,,,,,,
B012,Model B,T011,Sentence correction,Correct: `Ndi kwiga Ikinyarwanda.`,"grammar, humility if uncertain","The sentence is already correct: **Ndi kwiga Ikinyarwanda.**

Here is the breakdown:
*   **Ndi:** I am.
*   **Kwiga:** To learn/study.
*   **Ikinyarwanda:** The Kinyarwanda language.

Together, it means: ""I am learning Kinyarwanda.""",,,,,,,,,,
B013,Model A,T013,Sentence correction,"Correct: `Ndi umwarimu?` if the learner meant ""Am I a teacher?""","question formation, uncertainty","The sentence you provided, **""Ndi umwarimu?""**, is grammatically correct and is the most common way to say ""Am I a teacher?"" in Kinyarwanda.

Here is a breakdown of why it works and some nuances:

### 1. The Structure
*   **Ndi**: I am
*   **Umwarimu**: A teacher
*   **?**: The question mark indicates the rising intonation.

In Kinyarwanda, you do not need to change the word order to form a question (unlike in English where ""I am"" becomes ""Am I""). You simply say the statement with a rising tone at the end.

### 2. Alternative (More Formal)
If you want to be very explicit or formal, you can add the question particle **""Ese""** at the beginning:
> **Ese ndi umwarimu?**
*(Literally: ""As for me, am I a teacher?"")*

### 3. Pronunciation Tip
To make it sound natural as a question, ensure your voice rises on the last syllable of ""umwarimu"":
*   *Ndi umwarimu?* (Low-High)

### Summary Table
| English | Kinyarwanda | Notes |
| :--- | :--- | :--- |
| I am a teacher. | Ndi umwarimu. | Statement (Falling tone) |
| Am I a teacher? | Ndi umwarimu? | Question (Rising tone) |
| Am I a teacher? | Ese ndi umwarimu? | Formal/Emphatic question |",,,,,,,,,,
B014,Model B,T013,Sentence correction,"Correct: `Ndi umwarimu?` if the learner meant ""Am I a teacher?""","question formation, uncertainty","The correct translation is: **""Ndi umwarimu?""**

The sentence is already correct as written. In Kinyarwanda, the question mark at the end changes the statement into a question, so you do not need to change the word order or the verb form.",,,,,,,,,,
B015,Model B,T015,Sentence correction,Correct a learner who used a literal English word order in Kinyarwanda.,non-literal translation handling,"To help the learner, please provide the specific sentence they wrote. I will then show the natural Kinyarwanda word order and explain the difference.

For example, if a learner says: *""Nshaka kugura ibirori,""* which literally means ""I want to buy the celebrations,"" I would correct it to: *""Nshaka kugura ibirori by'umunsi w'umwuka.""* I would explain that while the words are correct, the natural phrasing requires a clearer description of the event.",,,,,,,,,,
B016,Model A,T015,Sentence correction,Correct a learner who used a literal English word order in Kinyarwanda.,non-literal translation handling,"To correct a learner who is using English word order in Kinyarwanda, I will provide a clear explanation of the grammatical difference, show the ""incorrect"" vs. ""correct"" versions, and explain the logic behind the change.

Since you didn't provide a specific sentence, I will use a very common mistake: **The placement of the adjective.**

### Example Scenario
**Learner's Sentence:** *""Inzu nziza""* (Literal translation of ""A beautiful house"")
**The Error:** The learner placed the adjective *after* the noun, following English syntax.

---

### 💡 The Correction

**Incorrect:** *Inzu nziza*
**Correct:** **Inzu nziza** (Wait—actually, in this specific case, Kinyarwanda and English both place adjectives after the noun! Let's try a different, more common structural error.)

---

### 💡 Better Example: Verb Placement (Subject-Verb-Object)
**Learner's Sentence:** *""Ndiya kurya ibiryo.""* (Literal translation of ""I am eating food."")
**The Error:** The learner is trying to use a ""to be"" verb (*ndi*) + ""to"" (*ya*) + ""eat"" (*kurya*).

**Correct:** **""Ndirya ibiryo.""**

**Explanation:**
In English, we use ""helper verbs"" (am, is, are) to show continuous action. In Kinyarwanda, you do not need a helper verb. You simply attach the prefix to the main verb.

*   **Ndi** (I am) + **kurya** (to eat) $\rightarrow$ **Ndirya** (I am eating / I eat).

---

### 💡 Another Common Error: Possession
**Learner's Sentence:** *""Icyitonderwa cyanjye""* (Literal translation of ""The attention of mine"")
**The Error:** Trying to use a possessive pronoun at the end like ""mine"" or ""his.""

**Correct:** **""Icyitonderwa cyanjye""** (Actually, Kinyarwanda *does* put the possessive after the noun).

**Let's look at a ""Word Order"" error regarding Time:**
**Learner's Sentence:** *""Naza kuva mu gitondo.""* (Literal: ""I came from in the morning."")
**Correct:** **""Naje mu gitondo.""**

**Explanation:**
In English, we often use ""from"" to indicate a starting point in time. In Kinyarwanda, when talking about ""in the morning"" or ""at night,"" you usually go straight to the time marker without the preposition ""kuva"" (from) unless you are specifically emphasizing a starting point of a duration.

---

### 🎓 Tutor Tip for the Learner:
> *""In Kinyarwanda, verbs are 'sticky.' Instead of saying 'I am [verb]ing,' you must attach the subject prefix directly to the verb root. Also, remember that Kinyarwanda is a Bantu language; it prefers a more compact structure than English. Try to think of the action as one single word rather than a string of words.""*

**If you have a specific sentence you would like me to correct, please paste it below!**",,,,,,,,,,
B017,Model A,T016,Translation EN-RW,Translate: `I am a student.`,grammar and naturalness,"The translation for ""I am a student"" in Kinyarwanda is:

**Ndi umunyeshuri.**

### Breakdown:
*   **Ndi**: I am (from the verb *kuba* - to be).
*   **Umunyeshuri**: A student.

### Pronunciation Tip:
*   **Ndi**: Pronounced like ""N-dee"" (the 'd' is soft).
*   **Umunyeshuri**: Pronounced *Oo-moo-nyeh-shoo-ree*.
    *   *Note: The 'u' at the beginning is a soft ""oo"" sound.*",,,,,,,,,,
B018,Model B,T016,Translation EN-RW,Translate: `I am a student.`,grammar and naturalness,"The translation is: `Ndi umunyeshuri.`

Breakdown:
*   `Ndi`: I am.
*   `umunyeshuri`: a student.",,,,,,,,,,
B019,Model A,T018,Translation EN-RW,Translate: `My name is Aline.`,name construction,"The translation for ""My name is Aline"" in Kinyarwanda is:

**Izina ryanjye ni Aline.**

### Breakdown:
*   **Izina**: Name
*   **ryanjye**: my (the suffix *-anjye* indicates possession)
*   **ni**: is/are (a linking verb)
*   **Aline**: (The proper noun remains the same)

### Pronunciation Tip:
*   **Izina**: *Ee-zee-nah*
*   **ryanjye**: *ryan-jyeh* (The 'j' is soft, like in ""jam"")
*   **ni**: *nee*",,,,,,,,,,
B020,Model B,T018,Translation EN-RW,Translate: `My name is Aline.`,name construction,"The translation is: `Izina ryanjye ni Aline.`

Here is a breakdown:
*   `Izina`: Name
*   `ryanjye`: My (the `-y-` connects it to `izina`)
*   `ni`: Is",,,,,,,,,,
